
tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,
980,2014-07-01 00:06:01,2014-07-01 00:22:21,305,E 58 St & 3 Ave,40.76095756,-73.96724467,490,8 Ave & W 33 St,40.751551,-73.993934,18048,Subscriber,1982,1,
1156,2014-07-01 00:06:10,2014-07-01 00:25:26,482,W 15 St & 7 Ave,40.73935542,-73.99931783,151,Cleveland Pl & Spring St,40.7218158,-73.99720307,16598,Customer,null,0,
1007,2014-07-01 00:06:16,2014-07-01 00:23:03,519,E 42 St & Vanderbilt Ave,40.752416,-73.97837,300,Shevchenko Pl & E 7 St,40.728145,-73.990214,21253,Subscriber,1985,1,
427,2014-07-01 00:06:19,2014-07-01 00:13:26,529,W 42 St & 8 Ave,40.7575699,-73.99098507,514,12 Ave & W 40 St,40.76087502,-74.00277668,16594,Subscriber,1981,1,
751,2014-07-01 00:06:24,2014-07-01 00:18:55,360,William St & Pine St,40.70717936,-74.00887308,356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,18548,Subscriber,1980,1,
587,2014-07-01 00:06:28,2014-07-01 00:16:15,519,E 42 St & Vanderbilt Ave,40.752416,-73.97837,499,Broadway & W 60 St,40.76915505,-73.98191841,15899,Customer,null,0,
1032,2014-07-01 00:06:43,2014-07-01 00:23:55,479,9 Ave & W 45 St,40.76019252,-73.9912551,320,Leonard St & Church St,40.717571,-74.005549,19216,Subscriber,1981,1,
364,2014-07-01 00:06:47,2014-07-01 00:12:51,490,8 Ave & W 33 St,40.751551,-73.993934,448,W 37 St & 10 Ave,40.75660359,-73.9979009,16444,Subscriber,1979,1,
485,2014-07-01 00:06:57,2014-07-01 00:15:02,490,8 Ave & W 33 St,40.751551,-73.993934,444,Broadway & W 24 St,40.7423543,-73.98915076,16353,Subscriber,1986,1,
662,2014-07-01 00:07:26,2014-07-01 00:18:28,348,W Broadway & Spring St,40.72490985,-74.00154702,82,St James Pl & Pearl St,40.71117416,-74.00016545,17780,Customer,null,0,
444,2014-07-01 00:07:30,2014-07-01 00:14:54,489,10 Ave & W 28 St,40.75066386,-74.00176802,116,W 17 St & 8 Ave,40.74177603,-74.00149746,16327,Subscriber,1956,1,
388,2014-07-01 00:07:42,2014-07-01 00:14:10,511,E 14 St & Avenue B,40.72938685,-73.97772429,536,1 Ave & E 30 St,40.74144387,-73.97536082,18174,Subscriber,1987,1,
487,2014-07-01 00:07:44,2014-07-01 00:15:51,420,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,365,Fulton St & Grand Ave,40.68223166,-73.9614583,21387,Subscriber,1978,1,
687,2014-07-01 00:07:49,2014-07-01 00:19:16,401,Allen St & Rivington St,40.72019576,-73.98997825,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,18141,Subscriber,1985,1,
673,2014-07-01 00:07:54,2014-07-01 00:19:07,515,W 43 St & 10 Ave,40.76009437,-73.99461843,470,W 20 St & 8 Ave,40.74345335,-74.00004031,21318,Subscriber,1989,2,
928,2014-07-01 00:08:07,2014-07-01 00:23:35,147,Greenwich St & Warren St,40.71542197,-74.01121978,2000,Front St & Washington St,40.70255088,-73.98940236,17433,Subscriber,1975,1,
455,2014-07-01 00:08:19,2014-07-01 00:15:54,300,Shevchenko Pl & E 7 St,40.728145,-73.990214,504,1 Ave & E 15 St,40.73221853,-73.98165557,21271,Subscriber,1971,1,
732,2014-07-01 00:08:21,2014-07-01 00:20:33,459,W 20 St & 11 Ave,40.746745,-74.007756,345,W 13 St & 6 Ave,40.73649403,-73.99704374,18320,Subscriber,1980,1,
1424,2014-07-01 00:08:28,2014-07-01 00:32:12,459,W 20 St & 11 Ave,40.746745,-74.007756,307,Canal St & Rutgers St,40.71427487,-73.98990025,19385,Subscriber,1985,1,
381,2014-07-01 00:08:30,2014-07-01 00:14:51,545,E 23 St & 1 Ave,40.736502,-73.97809472,325,E 19 St & 3 Ave,40.73624527,-73.98473765,18973,Subscriber,1954,2,
756,2014-07-01 00:08:32,2014-07-01 00:21:08,305,E 58 St & 3 Ave,40.76095756,-73.96724467,449,W 52 St & 9 Ave,40.76461837,-73.98789473,14624,Subscriber,1982,1,
757,2014-07-01 00:08:42,2014-07-01 00:21:19,430,York St & Jay St,40.7014851,-73.98656928,391,Clark St & Henry St,40.69760127,-73.99344559,19262,Subscriber,1971,1,
1009,2014-07-01 00:09:22,2014-07-01 00:26:11,368,Carmine St & 6 Ave,40.73038599,-74.00214988,519,E 42 St & Vanderbilt Ave,40.752416,-73.97837,18680,Subscriber,1974,1,
77,2014-07-01 00:09:27,2014-07-01 00:10:44,514,12 Ave & W 40 St,40.76087502,-74.00277668,514,12 Ave & W 40 St,40.76087502,-74.00277668,15656,Subscriber,1965,1,
678,2014-07-01 00:09:36,2014-07-01 00:20:54,328,Watts St & Greenwich St,40.72405549,-74.00965965,295,Pike St & E Broadway,40.71406667,-73.99293911,19809,Subscriber,1989,1,
417,2014-07-01 00:09:39,2014-07-01 00:16:36,355,Bayard St & Baxter St,40.71602118,-73.99974372,312,Allen St & E Houston St,40.722055,-73.989111,18238,Subscriber,1976,1,
910,2014-07-01 00:09:41,2014-07-01 00:24:51,482,W 15 St & 7 Ave,40.73935542,-73.99931783,151,Cleveland Pl & Spring St,40.7218158,-73.99720307,21311,Customer,null,0,
1527,2014-07-01 00:09:44,2014-07-01 00:35:11,525,W 34 St & 11 Ave,40.75594159,-74.0021163,426,West St & Chambers St,40.71754834,-74.01322069,18803,Customer,null,0,
1651,2014-07-01 00:09:59,2014-07-01 00:37:30,525,W 34 St & 11 Ave,40.75594159,-74.0021163,426,West St & Chambers St,40.71754834,-74.01322069,21268,Customer,null,0,
456,2014-07-01 00:10:10,2014-07-01 00:17:46,373,Willoughby Ave & Walworth St,40.69331716,-73.95381995,289,Monroe St & Classon Ave,40.6845683,-73.95881081,15510,Subscriber,1987,2,
590,2014-07-01 00:10:45,2014-07-01 00:20:35,285,Broadway & E 14 St,40.73454567,-73.99074142,346,Bank St & Hudson St,40.73652889,-74.00618026,21662,Subscriber,1987,1,
730,2014-07-01 00:11:22,2014-07-01 00:23:32,294,Washington Square E,40.73049393,-73.9957214,325,E 19 St & 3 Ave,40.73624527,-73.98473765,16207,Subscriber,1983,1,
1459,2014-07-01 00:11:40,2014-07-01 00:35:59,320,Leonard St & Church St,40.717571,-74.005549,363,West Thames St,40.70834698,-74.01713445,17484,Customer,null,0,
506,2014-07-01 00:11:48,2014-07-01 00:20:14,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,428,E 3 St & 1 Ave,40.72467721,-73.98783413,16051,Subscriber,1969,2,
1499,2014-07-01 00:11:53,2014-07-01 00:36:52,320,Leonard St & Church St,40.717571,-74.005549,363,West Thames St,40.70834698,-74.01713445,15599,Customer,null,0,
214,2014-07-01 00:11:57,2014-07-01 00:15:31,223,W 13 St & 7 Ave,40.73781509,-73.99994661,382,University Pl & E 14 St,40.73492695,-73.99200509,14665,Subscriber,1985,1,
1207,2014-07-01 00:12:15,2014-07-01 00:32:22,435,W 21 St & 6 Ave,40.74173969,-73.99415556,328,Watts St & Greenwich St,40.72405549,-74.00965965,20836,Subscriber,1964,2,
726,2014-07-01 00:12:16,2014-07-01 00:24:22,448,W 37 St & 10 Ave,40.75660359,-73.9979009,466,W 25 St & 6 Ave,40.74395411,-73.99144871,19949,Subscriber,1983,1,
617,2014-07-01 00:12:38,2014-07-01 00:22:55,237,E 11 St & 2 Ave,40.73047309,-73.98672378,296,Division St & Bowery,40.71413089,-73.9970468,17843,Subscriber,1982,1,
458,2014-07-01 00:12:46,2014-07-01 00:20:24,382,University Pl & E 14 St,40.73492695,-73.99200509,346,Bank St & Hudson St,40.73652889,-74.00618026,17526,Subscriber,1988,1,
1533,2014-07-01 00:12:50,2014-07-01 00:38:23,260,Broad St & Bridge St,40.70365182,-74.01167797,505,6 Ave & W 33 St,40.74901271,-73.98848395,21468,Subscriber,1983,1,
6089,2014-07-01 00:12:58,2014-07-01 01:54:27,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,223,W 13 St & 7 Ave,40.73781509,-73.99994661,21174,Subscriber,1976,1,
1512,2014-07-01 00:13:11,2014-07-01 00:38:23,2009,Catherine St & Monroe St,40.71117444,-73.99682619,330,Reade St & Broadway,40.71450451,-74.00562789,19257,Customer,null,0,
647,2014-07-01 00:13:26,2014-07-01 00:24:13,312,Allen St & E Houston St,40.722055,-73.989111,2004,6 Ave & Broome St,40.724399,-74.004704,15871,Customer,null,0,
457,2014-07-01 00:13:30,2014-07-01 00:21:07,402,Broadway & E 22 St,40.7403432,-73.98955109,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,15153,Subscriber,1983,1,
860,2014-07-01 00:13:32,2014-07-01 00:27:52,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,244,Willoughby Ave & Hall St,40.69196035,-73.96536851,18999,Subscriber,1979,1,
769,2014-07-01 00:13:47,2014-07-01 00:26:36,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,453,W 22 St & 8 Ave,40.74475148,-73.99915362,17518,Subscriber,1957,1,
610,2014-07-01 00:13:56,2014-07-01 00:24:06,432,E 7 St & Avenue A,40.72621788,-73.98379855,368,Carmine St & 6 Ave,40.73038599,-74.00214988,15849,Subscriber,1978,1,
220,2014-07-01 00:13:59,2014-07-01 00:17:39,435,W 21 St & 6 Ave,40.74173969,-73.99415556,494,W 26 St & 8 Ave,40.74734825,-73.99723551,21389,Subscriber,1986,1,
